name,href,id,area
"№ 514, школа",../../hudozhestvenno-esteticheskoe-obrazovanie/514-shkola-s-uglublennyim-izucheniem-predmetov-hudozhestvenno-esteticheskogo-tsikla/index.html,a185,kalininskij
"№ 172, школа",../../sredneobrazovatelnaya-shkola/172-shkola/index.html,a176,kalininskij
"№ 535, школа",../../sredneobrazovatelnaya-shkola/535-shkola/index.html,a186,kalininskij
"№ 146, школа",../../sredneobrazovatelnaya-shkola/146-shkola/index.html,a168,kalininskij
"№ 10, открытая сменная школа для учащихся с нарушениями слуха и речи",../../deti-s-osobennostyami-razvitiya/-10-otkryitaya-smennaya-shkola-dlya-uchaschihsya-s-narusheniyami-sluha-i-rechi/index.html,a816,kalininskij
"№ 149, школа",../../sredneobrazovatelnaya-shkola/149-shkola/index.html,a170,kalininskij
"№ 186, школа",../../sredneobrazovatelnaya-shkola/186-shkola/index.html,a181,kalininskij
Санкт-Петербургский технический колледж управления и коммерции (ТКУиК),../../drugoe/sankt-peterburgskij-tehnicheskij-kolledzh-upravleniya-i-kommertsii-tkuik/index.html,a743,kalininskij
"№ 176, школа",../../sredneobrazovatelnaya-shkola/176-shkola/index.html,a178,kalininskij
"№ 136, школа",../../sredneobrazovatelnaya-shkola/136-shkola/index.html,a162,kalininskij
